manga_name,manga_slug,chapter_number,panel_count,expected_count,status,timestamp,error,cloudinary_folder
Dandadan,dandadan,199,23,23,success,2025-11-01T20:37:23.057443,,manga/dandadan/chapter-199
Dandadan,dandadan,200,19,19,success,2025-11-01T20:38:42.567108,,manga/dandadan/chapter-200
Dandadan,dandadan,201,19,19,success,2025-11-01T20:40:29.962557,,manga/dandadan/chapter-201
Dandadan,dandadan,202,19,19,success,2025-11-01T20:42:25.491946,,manga/dandadan/chapter-202
Dandadan,dandadan,203,22,22,success,2025-11-01T20:44:41.560179,,manga/dandadan/chapter-203
Dandadan,dandadan,204,19,19,success,2025-11-01T20:46:55.562420,,manga/dandadan/chapter-204
Dandadan,dandadan,205,19,19,success,2025-11-01T20:48:50.205866,,manga/dandadan/chapter-205
Dandadan,dandadan,206,19,19,success,2025-11-01T20:50:42.039374,,manga/dandadan/chapter-206
Dandadan,dandadan,207,19,19,success,2025-11-01T20:52:33.749176,,manga/dandadan/chapter-207
Dandadan,dandadan,208,19,19,success,2025-11-01T20:55:08.988707,,manga/dandadan/chapter-208
Dandadan,dandadan,209,22,22,success,2025-11-01T20:56:52.721794,,manga/dandadan/chapter-209
Dandadan,dandadan,210,19,19,success,2025-11-01T20:58:23.736683,,manga/dandadan/chapter-210
Dandadan,dandadan,211,19,19,success,2025-11-01T20:59:49.291702,,manga/dandadan/chapter-211
Dandadan,dandadan,212,20,20,success,2025-11-01T21:01:03.466055,,manga/dandadan/chapter-212
Dandadan,dandadan,213,20,20,success,2025-11-01T21:02:17.055980,,manga/dandadan/chapter-213
Dandadan,dandadan,214,20,20,success,2025-11-01T21:03:39.729144,,manga/dandadan/chapter-214
Dandadan,dandadan,215,21,21,success,2025-11-01T21:05:25.328549,,manga/dandadan/chapter-215
