filename,public_id,folder,url,cloudinary_url,format,width,height,size_kb,created_at,resource_type
panel-013_a1ci01,panel-013_a1ci01,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223269/panel-013_a1ci01.jpg,cloudinary://dk9ywbxu1/image/upload/panel-013_a1ci01,jpg,720,6488,348,2025-10-23T12:41:09Z,image
panel-011_skmhrz,panel-011_skmhrz,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223269/panel-011_skmhrz.jpg,cloudinary://dk9ywbxu1/image/upload/panel-011_skmhrz,jpg,720,5570,419,2025-10-23T12:41:09Z,image
panel-010_eu8zj9,panel-010_eu8zj9,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223268/panel-010_eu8zj9.jpg,cloudinary://dk9ywbxu1/image/upload/panel-010_eu8zj9,jpg,720,6000,246,2025-10-23T12:41:08Z,image
panel-007_n3g5je,panel-007_n3g5je,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223268/panel-007_n3g5je.jpg,cloudinary://dk9ywbxu1/image/upload/panel-007_n3g5je,jpg,720,5597,328,2025-10-23T12:41:08Z,image
panel-008_urlsuo,panel-008_urlsuo,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223267/panel-008_urlsuo.jpg,cloudinary://dk9ywbxu1/image/upload/panel-008_urlsuo,jpg,720,5403,386,2025-10-23T12:41:07Z,image
panel-009_je1v5c,panel-009_je1v5c,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223267/panel-009_je1v5c.jpg,cloudinary://dk9ywbxu1/image/upload/panel-009_je1v5c,jpg,720,6129,457,2025-10-23T12:41:07Z,image
panel-002_t6mgyf,panel-002_t6mgyf,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223267/panel-002_t6mgyf.jpg,cloudinary://dk9ywbxu1/image/upload/panel-002_t6mgyf,jpg,720,5000,237,2025-10-23T12:41:07Z,image
panel-006_hukga2,panel-006_hukga2,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223266/panel-006_hukga2.jpg,cloudinary://dk9ywbxu1/image/upload/panel-006_hukga2,jpg,720,6000,353,2025-10-23T12:41:06Z,image
panel-005_nw8dsr,panel-005_nw8dsr,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223266/panel-005_nw8dsr.jpg,cloudinary://dk9ywbxu1/image/upload/panel-005_nw8dsr,jpg,720,5363,384,2025-10-23T12:41:06Z,image
panel-004_ljm4o2,panel-004_ljm4o2,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223265/panel-004_ljm4o2.jpg,cloudinary://dk9ywbxu1/image/upload/panel-004_ljm4o2,jpg,720,6875,363,2025-10-23T12:41:05Z,image
panel-017_mqv9m1,panel-017_mqv9m1,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223265/panel-017_mqv9m1.jpg,cloudinary://dk9ywbxu1/image/upload/panel-017_mqv9m1,jpg,720,7577,440,2025-10-23T12:41:05Z,image
panel-003_emogpl,panel-003_emogpl,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223265/panel-003_emogpl.jpg,cloudinary://dk9ywbxu1/image/upload/panel-003_emogpl,jpg,720,5819,446,2025-10-23T12:41:05Z,image
panel-005_srswhy,panel-005_srswhy,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223261/panel-005_srswhy.jpg,cloudinary://dk9ywbxu1/image/upload/panel-005_srswhy,jpg,720,6500,351,2025-10-23T12:41:01Z,image
